utc,date,time,open,high,low,close,volume
1760313600000,2025-10-13,00:00:00,114908.5,115950.6,103437.4,108597.3,69097461076.4092
1760918400000,2025-10-20,00:00:00,108597.3,115583,106588,114498.3,63729368321.5662
1761523200000,2025-10-27,00:00:00,114498.3,116373.3,106225,110493.5,58281491366.3649
1759708800000,2025-10-06,00:00:00,123447.9,126150,101045.9,114908.5,98798074006.9863
1760313600000,2025-10-13,00:00:00,114908.5,115950.6,103437.4,108597.3,69097461076.4092
1760918400000,2025-10-20,00:00:00,108597.3,115583,106588,114498.3,63729368321.5662
1761523200000,2025-10-27,00:00:00,114498.3,116373.3,106225,110493.5,58281491366.3649
1759708800000,2025-10-06,00:00:00,123447.9,126150,101045.9,114908.5,98798074006.9863
1760313600000,2025-10-13,00:00:00,114908.5,115950.6,103437.4,108597.3,69097461076.4092
1760918400000,2025-10-20,00:00:00,108597.3,115583,106588,114498.3,63729368321.5662
1761523200000,2025-10-27,00:00:00,114498.3,116373.3,106225,110493.5,58281491366.3649
1759104000000,2025-09-29,00:00:00,112133.5,125849.7,111487.2,123447.9,65316615417.4331
1759708800000,2025-10-06,00:00:00,123447.9,126150,101045.9,114908.5,98798074006.9863
1760313600000,2025-10-13,00:00:00,114908.5,115950.6,103437.4,108597.3,69097461076.4092
1760918400000,2025-10-20,00:00:00,108597.3,115583,106588,114498.3,63729368321.5662
1761523200000,2025-10-27,00:00:00,114498.3,116373.3,106225,110493.5,58281491366.3649
1759104000000,2025-09-29,00:00:00,112133.5,125849.7,111487.2,123447.9,65316615417.4331
